Voti Italia 2 giornata di campionato;;;;;;;;;;;;;;
Solo su www.fantacalcio.it i voti ufficiali per la tua lega;;;;;;;;;;;;;;
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET;;;;;;;;;;;;;;
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT;;;;;;;;;;;;;;
ATALANTA;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Gdv;Gdp
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Gdv;Gdp
761;P;AUDERO;7;0;0;0;0;0;0;0;0;0;0;0
4421;D;AUGELLO;6;0;0;0;0;0;0;0;0;0;0;0
2104;D;BERESZYNSKI;6;0;0;0;0;0;0;1;0;0;0;0
4895;D;YOSHIDA;6;0;0;0;0;0;0;0;0;0;0;0
2141;D;DEPAOLI;6*;0;0;0;0;0;0;0;0;0;0;0
2784;D;COLLEY;6;0;0;0;0;0;0;0;0;0;0;0
600;C;VERRE;5,5;0;0;0;0;0;0;0;0;0;0;0
4404;C;THORSBY;6;0;0;0;0;0;0;1;0;0;0;0
4921;C;ASKILDSEN;6;0;0;0;0;0;0;0;0;0;0;0
4978;C;DAMSGAARD;5,5;0;0;0;0;0;0;0;0;0;0;0
2391;C;EKDAL;6;0;0;0;0;0;0;0;0;0;0;0
2703;C;ADRIEN SILVA;6*;0;0;0;0;0;0;0;0;0;0;0
332;C;CANDREVA;6;0;0;0;0;0;0;0;0;0;0;0
568;A;QUAGLIARELLA;5,5;0;0;0;0;0;0;0;0;0;0;0
2824;ALL;D'AVERSA;6;0;0;0;0;0;0;0;0;0;0;0
SASSUOLO;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Gdv;Gdp
509;P;CONSIGLI;6;0;0;0;0;0;0;0;0;0;0;0
1895;D;FERRARI G.;6,5;0;0;0;0;0;0;0;0;0;0;0
4426;D;TOLJAN;6;0;0;0;0;0;0;0;0;0;0;0
2318;D;ROGERIO;6,5;0;0;0;0;0;0;0;0;0;0;0
640;D;CHIRICHES;6,5;0;0;0;0;0;0;1;0;0;0;0
2857;C;TRAORE' HJ.;6*;0;0;0;0;0;0;0;0;0;0;0
1995;C;DJURICIC;6,5;0;0;0;0;0;0;0;0;0;0;0
4681;C;LOPEZ M.;6;0;0;0;0;0;0;0;0;0;0;0
528;C;MAGNANELLI;6*;0;0;0;0;0;0;0;0;0;0;0
2848;C;FRATTESI;6;0;0;0;0;0;0;0;0;0;0;0
643;A;DEFREL;6;0;0;0;0;0;0;0;0;0;0;0
4371;A;RASPADORI;6;0;0;0;0;0;0;0;0;0;0;0
2137;A;SCAMACCA;6*;0;0;0;0;0;0;0;0;0;0;0
2819;A;CAPUTO;4,5;0;0;0;0;0;0;1;0;0;0;0
2832;A;BOGA;5,5;0;0;0;0;0;0;0;0;0;0;0
5474;ALL;DIONISI;6;0;0;0;0;0;0;0;0;0;0;0
SPEZIA;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Gdv;Gdp
5005;P;ZOET;6;0;6;1;0;0;0;0;0;0;0;0
4983;D;FERRER;5;0;0;0;0;0;0;0;0;0;0;0
4985;D;VIGNALI;4,5;0;0;0;0;0;0;0;0;0;0;0
630;D;SALA;5,5;0;0;0;0;0;0;0;0;0;0;0
2312;D;HRISTOV;5,5;0;0;0;0;0;0;0;0;0;0;0
4329;D;NIKOLAOU;5;0;0;0;0;0;0;0;0;0;0;0
5332;D;BASTONI S.;5;0;0;0;0;0;0;0;0;0;0;0
5475;D;AMIAN;4;0;0;0;0;0;0;0;1;0;0;0
4982;D;ERLIC;4;0;0;0;0;0;0;1;0;0;0;0
4988;C;MAGGIORE;5;0;0;0;0;0;0;0;0;0;0;0
215;A;VERDE;6;1;0;0;0;0;0;0;0;0;0;0
4992;A;GYASI;6;0;0;0;0;0;0;1;0;0;0;0
2750;A;MRAZ;5,5;0;0;0;0;0;0;0;0;0;0;0
4435;A;COLLEY E.;5;0;0;0;0;0;0;0;0;0;0;0
5673;A;ANTISTE;6*;0;0;0;0;0;0;0;0;0;0;0
4861;ALL;THIAGO MOTTA;5;0;0;0;0;0;0;0;0;0;0;0
TORINO;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Gdv;Gdp
2170;P;MILINKOVIC-SAVIC V.;6;0;2;0;0;0;0;0;0;0;0;0
2724;D;BUONGIORNO;5,5;0;0;0;0;0;0;1;0;0;0;0
2865;D;AINA;5,5;0;0;0;0;0;0;1;0;0;0;0
226;D;IZZO;5;0;0;0;0;0;0;0;0;0;0;0
2869;D;DJIDJI;5,5;0;0;0;0;0;0;1;0;0;0;0
4899;D;SINGO;6;0;0;0;0;0;0;0;0;0;0;0
4994;D;VOJVODA;6;0;0;0;0;0;0;0;0;0;0;0
706;D;ANSALDI;6*;0;0;0;0;0;0;0;0;0;0;0
2169;D;RODRIGUEZ R.;5,5;0;0;0;0;0;0;0;0;0;0;0
376;C;VERDI;6;1;0;0;0;0;0;0;0;0;0;0
1933;C;MANDRAGORA;5,5;0;0;0;0;0;0;1;0;0;0;0
2008;C;LINETTY;5;0;0;0;0;0;0;0;0;0;0;0
2009;C;LUKIC;6;0;0;0;0;0;0;1;0;1;0;0
441;A;BELOTTI;5,5;0;0;0;0;0;0;0;0;0;0;0
1998;A;PJACA;5,5;0;0;0;0;0;0;0;0;0;0;0
479;A;SANABRIA;5;0;0;0;0;0;0;0;0;0;0;0
1924;ALL;JURIC;5,5;0;0;0;0;0;0;0;0;0;0;0
UDINESE;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Gdv;Gdp
2211;P;SILVESTRI;7;0;0;0;0;0;0;0;0;0;0;0
5355;D;UDOGIE;6*;0;0;0;0;0;0;0;0;0;0;0
2315;D;STRYGER LARSEN;6,5;0;0;0;0;0;0;0;0;1;0;0
790;D;SAMIR;6,5;0;0;0;0;0;0;1;0;0;0;0
4412;D;RODRIGO BECAO;6,5;0;0;0;0;0;0;0;0;0;0;0
4998;D;MOLINA N.;7,5;1;0;0;0;0;0;0;0;1;0;0
2280;D;NUYTINCK;6,5;0;0;0;0;0;0;0;0;0;0;0
302;C;PEREYRA;6,5;0;0;0;0;0;0;0;0;0;0;0
