Statistiche Fantacalcio Stagione 2022 23  Italia;;;;;;;;;;;;;;;;;
Id;R;Rm;Nome;Squadra;Pv;Mv;Fm;Gf;Gs;Rp;Rc;R+;R-;Ass;Amm;Esp;Au
5554;D;"Dd;Dc";Daniliuc;Salernitana;27;5,74;5,56;0;0;0;0;0;0;0;10;0;0
5793;D;"Dd;E";Kasius;Bologna;6;6;6,25;0;0;0;0;0;0;2;1;0;0
6002;D;Dc;Aiwu;Cremonese;22;5,59;5,52;0;0;0;0;0;0;0;3;0;0
6153;D;Dc;Wisniewski;Spezia;11;5,77;5,55;1;0;0;0;0;0;0;3;0;2
244;D;"Dd;E";Ghiglione;Cremonese;11;5,77;5,95;1;0;0;0;0;0;1;4;0;0
294;D;Dc;Rugani;Juventus;7;6,07;6,07;0;0;0;0;0;0;0;0;0;0
358;D;"Dd;Ds;E";De Sciglio;Juventus;17;5,76;5,76;0;0;0;0;0;0;0;0;0;0
612;D;"Dd;Dc";Bianchetti;Cremonese;25;5,6;5,62;1;0;0;0;0;0;0;5;0;0
662;D;"Ds;E";Alex Sandro;Juventus;23;5,67;5,59;0;0;0;0;0;0;1;4;1;0
1868;D;"Ds;E";Murru;Sampdoria;17;5,5;5,41;0;0;0;0;0;0;0;3;0;0
1898;D;"Dd;Dc;E";Sampirisi;Monza;0;0;0;0;0;0;0;0;0;0;0;0;0
2104;D;"Dd;E";Bereszynski;Napoli;18;5,56;5,56;0;0;0;0;0;0;1;2;0;0
2130;D;E;Hateboer;Atalanta;17;5,85;5,88;1;0;0;0;0;0;1;7;0;0
2174;D;"Dd;Ds;E";Venuti;Fiorentina;16;5,66;5,59;0;0;0;0;0;0;0;2;0;0
2184;D;"Dd;Dc";Gravillon;Torino;5;5,9;5,7;0;0;0;0;0;0;0;2;0;0
2300;D;Dc;Leverbe;Sampdoria;0;0;0;0;0;0;0;0;0;0;0;0;0
2312;D;Dc;Hristov;Spezia;8;5,69;5,69;0;0;0;0;0;0;0;0;0;0
2355;D;Dc;Marlon;Monza;24;5,65;5,38;0;0;0;0;0;0;0;7;1;1
2633;D;Dc;Kjaer;Milan;14;5,89;5,75;0;0;0;0;0;0;0;4;0;0
2728;D;"Ds;E";Pellegrini Lu.;Lazio;3;6;5,67;0;0;0;0;0;0;0;3;0;0
2745;D;"Dd;Dc";Calabresi;Lecce;0;0;0;0;0;0;0;0;0;0;0;0;0
4374;D;Dc;Walukiewicz;Empoli;9;5,94;5,94;0;0;0;0;0;0;0;0;0;0
4432;D;Dc;Okoli;Atalanta;14;5,75;5,64;0;0;0;0;0;0;0;3;0;0
4758;D;Dc;Benkovic;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0
4934;D;Dc;Lovato;Salernitana;14;5,57;5,5;0;0;0;0;0;0;0;2;0;0
4946;D;"Ds;E";Frabotta;Lecce;0;0;0;0;0;0;0;0;0;0;0;0;0
4979;D;"Dd;Dc";Ayhan;Sassuolo;8;5,5;5,44;0;0;0;0;0;0;0;1;0;0
4982;D;Dc;Erlic;Sassuolo;27;5,81;5,7;0;0;0;0;0;0;0;2;0;1
5479;D;"Ds;Dc";Ceccaroni;Lecce;2;6;6;0;0;0;0;0;0;0;0;0;0
5764;D;Dc;Coppola D.;Verona;16;5,78;5,62;0;0;0;0;0;0;0;5;0;0
5804;D;"Ds;E";Cacace;Empoli;10;5,6;5,55;0;0;0;0;0;0;0;1;0;0
5860;D;Dc;Ravanelli;Cremonese;0;0;0;0;0;0;0;0;0;0;0;0;0
5891;D;"Ds;E";Quagliata;Cremonese;16;5,75;5,75;0;0;0;0;0;0;1;0;1;0
6021;D;"Dc;Dd";Abankwah;Udinese;1;6;6;0;0;0;0;0;0;0;0;0;0
6023;D;Dc;Guessand A.;Udinese;1;6;6;0;0;0;0;0;0;0;0;0;0
6039;D;"Ds;Dc";Cabal;Verona;9;5,78;5,61;0;0;0;0;0;0;0;3;0;0
52;D;Dc;Oikonomou;Sampdoria;6;5,67;5,42;0;0;0;0;0;0;0;3;0;0
73;D;"Ds;Dc";Gagliolo;Salernitana;0;0;0;0;0;0;0;0;0;0;0;0;0
