Id;R;RM;Nome;Squadra;Qt.A;FVM;Indice appetibilità;Titolarita;Rigori;Punizioni;angoli;Indice Squadra;Fascia;Offerta max;Note
5355;D;"Ds;E";Udogie;Udinese;13;31;84;9;;;;;;12;**
5375;D;E;Maehle;Atalanta;8;14;65;5;;;;;;6;
5378;A;A;Oddei;Sassuolo;1;1;42;2;;;;;;0;
5391;A;Pc;Kokorin;Fiorentina;1;1;0;0;;;;;;0;
5397;C;"C;T";Kovalenko;Spezia;7;13;73;7;;;;;;5;
5399;D;Dc;Antov;Monza;1;1;35;2;;;;;;0;
5420;C;"M;C";Darboe;Roma;1;1;19;1;;;;;;0;
5422;C;"E;W";Zalewski;Roma;7;13;60;5;;;;;;5;
5423;C;C;Bove;Roma;1;1;34;2;;;;;;0;
5424;D;"Dd;Dc";Amey;Bologna;1;2;40;3;;;;;;1;
5444;C;"C;T";Cortinovis;Verona;2;3;;;;;;;;1;
5449;D;"Ds;E";Parisi;Empoli;8;14;70;8;;;;;;6;
5450;D;"Dd;E";Stojanovic;Empoli;7;13;72;8;;;;;;5;
5451;C;T;Bajrami;Empoli;17;50;84;8;1;1;;;;20;
5453;C;"M;C";Ricci S.;Torino;8;18;73;8;;;;;;7;
5457;C;C;Maleh;Fiorentina;6;9;60;5;;;;;;4;
5460;A;Pc;Satriano;Empoli;14;16;70;5;;;;;;6;
